Fecha,Hora,Cuarto,Consumo Activa
7/6/2021,0,1,1
7/6/2021,0,2,1
7/6/2021,0,3,1
7/6/2021,0,4,1
7/6/2021,1,1,2
7/6/2021,1,2,2
7/6/2021,1,3,2
7/6/2021,1,4,2
7/6/2021,2,1,2.357142857
7/6/2021,2,2,2.547619048
7/6/2021,2,3,2.738095238
7/6/2021,2,4,2.928571429
7/6/2021,3,1,3.119047619
7/6/2021,3,2,3.30952381
7/6/2021,3,3,3.5
7/6/2021,3,4,3.69047619
7/6/2021,4,1,3.880952381
7/6/2021,4,2,4.071428571
7/6/2021,4,3,4.261904762
7/6/2021,4,4,4.452380952
7/6/2021,5,1,4.642857143
7/6/2021,5,2,4.833333333
7/6/2021,5,3,5.023809524
7/6/2021,5,4,5.214285714
7/6/2021,6,1,5.404761905
7/6/2021,6,2,5.595238095
7/6/2021,6,3,5.785714286
7/6/2021,6,4,5.976190476
7/6/2021,7,1,6.166666667
7/6/2021,7,2,6.357142857
7/6/2021,7,3,6.547619048
7/6/2021,7,4,6.738095238
7/6/2021,8,1,6.928571429
7/6/2021,8,2,7.119047619
7/6/2021,8,3,7.30952381
7/6/2021,8,4,7.5
7/6/2021,9,1,7.69047619
7/6/2021,9,2,7.880952381
7/6/2021,9,3,8.071428571
7/6/2021,9,4,8.261904762
7/6/2021,10,1,8.452380952
7/6/2021,10,2,8.642857143
7/6/2021,10,3,8.833333333
7/6/2021,10,4,9.023809524
7/6/2021,11,1,9.214285714
7/6/2021,11,2,9.404761905
7/6/2021,11,3,9.595238095
7/6/2021,11,4,9.785714286
7/6/2021,12,1,9.976190476
7/6/2021,12,2,10.16666667
7/6/2021,12,3,10.35714286
7/6/2021,12,4,10.54761905
7/6/2021,13,1,10.73809524
7/6/2021,13,2,10.92857143
7/6/2021,13,3,11.11904762
7/6/2021,13,4,11.30952381
7/6/2021,14,1,11.5
7/6/2021,14,2,11.69047619
7/6/2021,14,3,11.88095238
7/6/2021,14,4,12.07142857
7/6/2021,15,1,12.26190476
7/6/2021,15,2,12.45238095
7/6/2021,15,3,12.64285714
7/6/2021,15,4,12.83333333
7/6/2021,16,1,13.02380952
7/6/2021,16,2,13.21428571
7/6/2021,16,3,13.4047619
7/6/2021,16,4,13.5952381
7/6/2021,17,1,13.78571429
7/6/2021,17,2,13.97619048
7/6/2021,17,3,14.16666667
7/6/2021,17,4,14.35714286
7/6/2021,18,1,14.54761905
7/6/2021,18,2,14.73809524
7/6/2021,18,3,14.92857143
7/6/2021,18,4,15.11904762
7/6/2021,19,1,15.30952381
7/6/2021,19,2,15.5
7/6/2021,19,3,15.69047619
7/6/2021,19,4,15.88095238
7/6/2021,20,1,16.07142857
7/6/2021,20,2,16.26190476
7/6/2021,20,3,16.45238095
7/6/2021,20,4,16.64285714
7/6/2021,21,1,16.83333333
7/6/2021,21,2,17.02380952
7/6/2021,21,3,17.21428571
7/6/2021,21,4,17.4047619
7/6/2021,22,1,17.5952381
7/6/2021,22,2,17.78571429
7/6/2021,22,3,17.97619048
7/6/2021,22,4,18.16666667
7/6/2021,23,1,18.35714286
7/6/2021,23,2,18.54761905
7/6/2021,23,3,18.73809524
7/6/2021,23,4,18.92857143
